strain	accession	date	country	state
MN988669.1	WHU002	2020-01-02	CHN	WU
MN988668.1	WHU001	2020-01-02	CHN	WU
MT365033.1	NY40420	2020-04-02	USA	NY
MT324062.1	R030006	2020-03-07	ZAF	KW
MT263074.1	Peru10	2020-03-10	PER	LI
MT126808.1	SP00002	2020-02-28	BRA	SP
MT007544.1	VIC0001	2020-01-25	AUS	VI
MT186683.1	HK00020	2020-01-01	CHN	HK
MT371038.1	PV09189	2020-03-19	USA	NY
MT371036.1	PV09198	2020-03-20	USA	NY
MT371035.1	PV09025	2020-03-21	USA	NY
MT371034.1	PV09158	2020-03-22	USA	NY
MT371033.1	PV09304	2020-03-21	USA	NY
MT371032.1	PV09127	2020-03-19	USA	NY
MT371029.1	PV09137	2020-03-20	USA	NY
MT371028.1	PV09021	2020-03-21	USA	NY
MT371027.1	PV09073	2020-03-20	USA	NY
MT371026.1	PV09090	2020-03-19	USA	NY
MT371023.1	PV09046	2020-03-21	USA	NY
MT371022.1	PV09151	2020-03-22	USA	NY
MT371019.1	PV09029	2020-03-21	USA	NY
MT371018.1	PV09186	2020-03-20	USA	NY
MT371017.1	PV09309	2020-03-22	USA	NY
MT371016.1	PV09308	2020-03-22	USA	NY
MT371015.1	PV09187	2020-03-20	USA	NY
MT371013.1	PV09102	2020-03-21	USA	NY
MT371012.1	PV09169	2020-03-19	USA	NY
MT371009.1	PV09057	2020-03-21	USA	NY
MT371008.1	PV09165	2020-03-22	USA	NY
MT371007.1	PV09177	2020-03-19	USA	NY
MT371006.1	PV09068	2020-03-20	USA	NY
MT371002.1	PV09200	2020-03-22	USA	NY
MT371001.1	PV09171	2020-03-19	USA	NY
MT371000.1	PV09045	2020-03-21	USA	NY
MT370998.1	PV09183	2020-03-19	USA	NY
MT370997.1	PV09088	2020-03-19	USA	NY
MT370996.1	PV09181	2020-03-19	USA	NY
MT370994.1	PV09194	2020-03-20	USA	NY
MT370993.1	PV09125	2020-03-19	USA	NY
MT370991.1	PV09028	2020-03-21	USA	NY
MT370988.1	PV09197	2020-03-20	USA	NY
MT370987.1	PV09092	2020-03-18	USA	NY
MT370986.1	PV09190	2020-03-20	USA	NY
MT370985.1	PV09147	2020-03-20	USA	NY
MT370984.1	PV09043	2020-03-21	USA	NY
MT370981.1	PV09123	2020-03-19	USA	NY
MT370980.1	PV09067	2020-03-20	USA	NY
MT370979.1	PV09044	2020-03-21	USA	NY
MT370977.1	PV09023	2020-03-21	USA	NY
MT370976.1	PV09069	2020-03-20	USA	NY
MT370975.1	PV09134	2020-03-19	USA	NY
MT370972.1	PV09138	2020-03-20	USA	NY
MT370971.1	PV09061	2020-03-20	USA	NY
MT370970.1	PV09192	2020-03-20	USA	NY
MT370967.1	PV09303	2020-03-21	USA	NY
MT370966.1	PV09180	2020-03-19	USA	NY
